Iteracion,MSE
163,27.673811520682847
164,27.673812654236812
165,27.673813787724733
166,27.67381492114657
167,27.673816054502378
168,27.673817187792103
169,27.673818321015837
170,27.673819454173508
171,27.673820587265183
172,27.673821720290835
173,27.67382285325046
174,27.673823986144104
175,27.673825118971735
176,27.673826251733406
177,27.67382738442906
178,27.67382851705873
179,27.67382964962245
180,27.673830782120174
181,27.673831914551986
182,27.673833046917817
183,27.67383417921767
184,27.673835311451615
185,27.673836443619635
186,27.673837575721713
187,27.673838707757895
188,27.673839839728142
189,27.67384097163245
190,27.673842103470886
191,27.67384323524341
192,27.673844366950064
193,27.673845498590843
194,27.67384663016573
195,27.673847761674736
196,27.673848893117853
197,27.67385002449517
198,27.673851155806588
199,27.673852287052185
200,27.673853418231918
201,27.673854549345847
202,27.673855680393928
203,27.673856811376204
204,27.673857942292646
205,27.673859073143316
206,27.67386020392817
207,27.673861334647206
208,27.67386246530047
209,27.673863595887923
210,27.673864726409636
211,27.673865856865593
212,27.673866987255725
213,27.67386811758013
214,27.673869247838795
215,27.67387037803171
216,27.67387150815888
217,27.673872638220324
218,27.673873768216037
219,27.673874898146014
220,27.673876028010337
221,27.6738771578089
222,27.673878287541726
223,27.673879417208962
224,27.673880546810416
225,27.673881676346216
226,27.673882805816366
227,27.673883935220832
228,27.673885064559624
229,27.673886193832747
230,27.67388732304025
231,27.67388845218209
232,27.67388958125829
233,27.67389071026886
234,27.673891839213844
235,27.67389296809316
236,27.673894096906867
237,27.673895225654956
238,27.67389635433751
239,27.67389748295441
240,27.67389861150575
241,27.67389973999149
242,27.673900868411675
243,27.67390199676627
244,27.67390312505529
245,27.673904253278792
246,27.67390538143673
247,27.673906509529104
248,27.673907637555978
249,27.67390876551726
250,27.67390989341308
251,27.67391102124335
252,27.673912149008125
253,27.67391327670735
254,27.673914404341133
255,27.673915531909394
256,27.673916659412164
257,27.67391778684947
258,27.67391891422127
259,27.67392004152764
260,27.673921168768523
261,27.673922295943946
262,27.673923423053925
263,27.673924550098473
264,27.673925677077555
265,27.673926803991233
266,27.67392793083947
267,27.673929057622296
268,27.673930184339724
269,27.673931310991723
270,27.673932437578298
271,27.673933564099535
272,27.67393469055535
273,27.673935816945793
274,27.673936943270878
275,27.67393806953055
276,27.673939195724913
277,27.673940321853898
278,27.67394144791752
279,27.673942573915824
280,27.673943699848742
281,27.673944825716372
282,27.67394595151868
283,27.673947077255665
284,27.673948202927317
285,27.673949328533663
286,27.673950454074728
287,27.673951579550515
288,27.67395270496099
289,27.67395383030615
290,27.673954955586073
291,27.673956080800707
292,27.673957205950114
293,27.673958331034253
294,27.6739594560531
295,27.67396058100674
296,27.67396170589514
297,27.673962830718313
298,27.67396395547626
299,27.673965080168973
300,27.673966204796493
301,27.673967329358803
302,27.673968453855906
303,27.673969578287803
304,27.673970702654564
305,27.67397182695606
306,27.67397295119244
307,27.67397407536364
308,27.673975199469673
309,27.67397632351054
310,27.673977447486273
311,27.67397857139684
312,27.67397969524229
313,27.673980819022603
314,27.673981942737775
315,27.673983066387876
316,27.673984189972813
317,27.673985313492636
318,27.673986436947388
319,27.673987560337014
320,27.67398868366161
321,27.673989806921103
322,27.673990930115487
323,27.6739920532448
324,27.673993176309082
325,27.673994299308287
326,27.67399542224249
327,27.673996545111596
328,27.67399766791568
329,27.67399879065468
330,27.67399991332873
331,27.674001035937707
332,27.674002158481688
333,27.674003280960687
334,27.674004403374663
335,27.674005525723626
336,27.67400664800762
337,27.67400777022663
338,27.67400889238068
339,27.67401001446973
340,27.674011136493807
341,27.674012258452958
342,27.674013380347137
343,27.674014502176377
344,27.674015623940686
345,27.674016745640053
346,27.67401786727449
347,27.67401898884401
348,27.6740201103486
349,27.674021231788306
350,27.674022353163103
351,27.67402347447299
352,27.674024595718002
353,27.67402571689815
354,27.67402683801337
355,27.674027959063736
356,27.67402908004926
357,27.67403020096992
358,27.67403132182573
359,27.67403244261666
360,27.674033563342768
361,27.674034684004035
362,27.674035804600507
363,27.67403692513211
364,27.67403804559895
365,27.67403916600092
366,27.674040286338105
367,27.674041406610524
368,27.67404252681813
369,27.674043646960943
370,27.67404476703899
371,27.67404588705227
372,27.67404700700075
373,27.674048126884525
